,timestamp,gen,capacity,forecast_da,forecast_rt
204,2024-03-09 12:00,14819.5592,73855.62,15189.30068,14998.04479
205,2024-03-09 13:00,14605.8501,73855.62,15276.73468,14928.47181
206,2024-03-09 14:00,13292.4047,73855.62,14095.67381,13573.75463
207,2024-03-09 15:00,10878.0123,73855.62,11708.02349,11071.20631
208,2024-03-09 16:00,7265.88236,73855.62,7714.179804,7465.5739
209,2024-03-09 17:00,3056.26314,73855.62,3052.210509,3092.376895
210,2024-03-09 18:00,427.1713666,73855.62,234.2683447,366.2068822
211,2024-03-09 19:00,6.8133334,73855.62,0.739864891,12.60543548
212,2024-03-09 20:00,0,73855.62,2.675727192,0.506963937
213,2024-03-09 21:00,0,73855.62,0,0
214,2024-03-09 22:00,0,73855.62,0,0
215,2024-03-09 23:00,0,73855.62,0,0
216,2024-03-10 0:00,0,73855.62,0,0
217,2024-03-10 1:00,0,73855.62,0,0
218,2024-03-10 2:00,0,73855.62,0,0
219,2024-03-10 3:00,0,73855.62,0,0
220,2024-03-10 4:00,0,73855.62,0,0
221,2024-03-10 5:00,0,73855.62,0,0
222,2024-03-10 6:00,0.604,73855.62,0,0
223,2024-03-10 7:00,734.280603,73855.62,830.2311954,777.8342641
224,2024-03-10 8:00,4141.2786,73855.62,4257.752904,4164.718965
225,2024-03-10 9:00,8370.90617,73855.62,8446.634776,8506.051687
226,2024-03-10 10:00,11643.4527,73855.62,11843.31295,11760.42304
227,2024-03-10 11:00,13638.2238,73855.62,14102.85528,13749.55451
228,2024-03-10 12:00,14613.798,73855.62,14800.14239,14601.44652
229,2024-03-10 13:00,14439.1879,73855.62,14516.99945,14288.48455
230,2024-03-10 14:00,13158.9005,73855.62,13293.33737,13232.50134
231,2024-03-10 15:00,10727.87497,73855.62,10849.69893,10738.34386
232,2024-03-10 16:00,7195.294667,73855.62,7104.378593,7208.695696
233,2024-03-10 17:00,3048.107073,73855.62,2740.947298,2984.422708
234,2024-03-10 18:00,409.4439297,73855.62,142.3502675,342.4839457
235,2024-03-10 19:00,7.14,73855.62,-30.95632294,8.194530998
236,2024-03-10 20:00,0,73855.62,-19.24135207,-2.517029483
237,2024-03-10 21:00,0,73855.62,0,0
238,2024-03-10 22:00,0,73855.62,0,0
239,2024-03-10 23:00,0,73855.62,0,0
240,2024-03-11 0:00,0,73855.62,0,0
